token_index,kendall_top3,spearman_top3,kendall_top10,spearman_top10,kendall_top20,spearman_top20
0,0.1066666666666666,0.12,0.1440803540884968,0.1869422997862411,0.1445877773441281,0.1961176111243532
1,0.7416496580927726,0.776602540378444,0.6794899898604159,0.8065542954063681,0.6768355832162396,0.8128419032424127
2,0.7866666666666667,0.81,0.7435190345453913,0.8516047617934785,0.7336403814441665,0.8662071429086918
3,0.7829965982852211,0.8073205080756888,0.7488313411503329,0.856909199925459,0.697410642305773,0.8375987101614468
4,0.5666666666666668,0.62,0.6783278302211119,0.8021093174879232,0.6980691028895565,0.8404940781623081
5,0.6289897948556635,0.6619615242270663,0.6547697779871817,0.773774301672044,0.6771272067187958,0.8221042020641727
6,0.7496632649518878,0.7773205080756889,0.695667666824054,0.8211127810583589,0.6904081464504215,0.8395365363753384
7,0.6459931965704423,0.6946410161513775,0.6590352088383233,0.7910978993777964,0.654023065285016,0.7891983170491619
8,0.7563299316185546,0.7973205080756888,0.682170587546602,0.8107205666259033,0.684860919674172,0.8329004135601079
9,0.6533333333333334,0.7,0.707890493042525,0.8261353627781354,0.7103588804429399,0.8436388051780688
10,0.6666666666666667,0.71,0.7279230121830562,0.8485657669349961,0.6862830443212027,0.8264341980759556
11,0.7066666666666667,0.76,0.6915088895751828,0.8077959168496137,0.6796038416450823,0.8232114811192289
12,0.7829965982852213,0.8073205080756888,0.6799173217970744,0.7954001115898683,0.7022240738416076,0.8398052662397751
13,0.7333333333333333,0.77,0.729813017336816,0.8455519598431707,0.6992590509988312,0.8343931826120733
14,0.7696632649518879,0.8073205080756888,0.7169586380363911,0.8267048706514057,0.701585225859209,0.8370458663384193
15,0.7259931965704425,0.7546410161513777,0.6886650293268048,0.7952969363177119,0.6898914436232555,0.8231341893086322
16,0.64,0.68,0.6844542328008972,0.8124577407494428,0.6778573951797798,0.819177518594489
17,0.7733333333333334,0.8,0.6237944890420561,0.7372883420214907,0.6627596176409822,0.806561301628564
18,0.7829965982852213,0.8173205080756887,0.7272143816063077,0.8427971589234357,0.6956737725747683,0.8415665100564996
19,0.6170034017147787,0.6726794919243112,0.695806081145075,0.8269253442657974,0.6737731838535627,0.8163840162121506
20,0.7466666666666667,0.79,0.6980214509525093,0.817041719593755,0.6943277772043572,0.8401055987461329
21,0.769663264951888,0.7973205080756887,0.702301181999165,0.8266162425088867,0.7076792274030419,0.8475893703087364
22,0.722323128188997,0.7519615242270663,0.6909199108892912,0.8131729111408021,0.6766242160529893,0.817303624750503
23,0.6533333333333333,0.72,0.6722838502189802,0.8011769769737025,0.7043218427020795,0.843204584605006
24,0.7623231281889971,0.8119615242270664,0.7017432306304775,0.8323049769406223,0.691618529271617,0.8394095759842476
25,0.6836700683814455,0.7226794919243111,0.6932677829979044,0.8097653018850162,0.6670278746915892,0.7992597553771407
26,0.6289897948556635,0.6719615242270663,0.7029958646806774,0.8285049194040746,0.6927052877660783,0.8332661324687746
27,0.6666666666666669,0.69,0.6855224307952476,0.8102339725513913,0.6898135084574137,0.8358862049872746
28,0.7066666666666667,0.74,0.717532127493126,0.826906255970681,0.7193627512486027,0.8537388955259583
29,0.7793265299037757,0.8146410161513776,0.7657072335269249,0.8764400664955575,0.7297137368050999,0.861608523377965
30,0.8400000000000002,0.88,0.7489675453148353,0.8644997149027879,0.7260321179128951,0.8630796282076423
31,0.7066666666666667,0.76,0.6686113056132341,0.7942194012192766,0.694989096043933,0.8391629144186235
